id,email,first_name,last_name,status,source,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,marie.dubois@seeg.ga,Marie,Dubois,active,website,2024-01-15 10:30:00+00,2024-01-15 10:30:00+00
550e8400-e29b-41d4-a716-446655440002,jean.martin@orabank.ga,Jean,Martin,active,blog,2024-01-20 14:20:00+00,2024-01-20 14:20:00+00
550e8400-e29b-41d4-a716-446655440003,fatou.diallo@afg.ga,Fatou,Diallo,active,ebook_download,2024-01-25 16:45:00+00,2024-01-25 16:45:00+00
550e8400-e29b-41d4-a716-446655440004,pierre.nze@trianon.ga,Pierre,Nze,active,website,2024-02-01 09:15:00+00,2024-02-01 09:15:00+00
550e8400-e29b-41d4-a716-446655440005,aminata.ba@unesco.org,Aminata,Ba,active,social_media,2024-02-05 11:30:00+00,2024-02-05 11:30:00+00
550e8400-e29b-41d4-a716-446655440006,claude.mba@worldbank.org,Claude,Mba,active,referral,2024-02-10 13:45:00+00,2024-02-10 13:45:00+00
550e8400-e29b-41d4-a716-446655440007,grace.obame@eu.int,Grace,Obame,active,website,2024-02-15 15:20:00+00,2024-02-15 15:20:00+00
550e8400-e29b-41d4-a716-446655440008,daniel.nguema@bgfi.ga,Daniel,Nguema,unsubscribed,blog,2024-02-20 08:10:00+00,2024-03-01 10:00:00+00
550e8400-e29b-41d4-a716-446655440009,sylvie.akendengue@total.ga,Sylvie,Akendengue,active,ebook_download,2024-02-25 12:30:00+00,2024-02-25 12:30:00+00
550e8400-e29b-41d4-a716-446655440010,robert.ella@libreville.ga,Robert,Ella,active,website,2024-03-01 14:15:00+00,2024-03-01 14:15:00+00
550e8400-e29b-41d4-a716-446655440011,isabelle.ndong@orange.ga,Isabelle,Ndong,active,social_media,2024-03-05 16:45:00+00,2024-03-05 16:45:00+00
550e8400-e29b-41d4-a716-446655440012,francis.ondo@airtel.ga,Francis,Ondo,active,blog,2024-03-10 10:20:00+00,2024-03-10 10:20:00+00
550e8400-e29b-41d4-a716-446655440013,marie-claire.eyeghe@gabon.ga,Marie-Claire,Eyeghe,active,website,2024-03-12 11:30:00+00,2024-03-12 11:30:00+00
550e8400-e29b-41d4-a716-446655440014,thierry.moussounda@comilog.ga,Thierry,Moussounda,active,referral,2024-03-14 13:45:00+00,2024-03-14 13:45:00+00
550e8400-e29b-41d4-a716-446655440015,nathalie.boussougou@sogara.ga,Nathalie,Boussougou,active,ebook_download,2024-03-15 15:30:00+00,2024-03-15 15:30:00+00
